"compound","keggid","number","Pathway_Description"
"2-(S-Glutathionyl)acetyl chloride","C14865","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Chloral","C14866","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Dichloroacetyl chloride","C14867","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"S-(1,2-Dichlorovinyl)glutathione","C14868","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Trichloroethanol glucuronide","C14869","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"2-Bromoacetaldehyde","C14870","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"S-(Formylmethyl)glutathione","C14871","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Thiodiacetic acid","C14872","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Thiodiacetic acid sulfoxide","C14873","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Glutathione episulfonium ion","C14874","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"S-(2-Hydroxyethyl)glutathione","C14875","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"S-(2-Hydroxyethyl)-N-acetyl-L-cysteine","C14876","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"S-[2-(N7-Guanyl)ethyl]-N-acetyl-L-cysteine","C14877","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone","C16453","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Aflatoxin M1","C16756","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"7,12-Dimethylbenz[a]anthracene","C19488","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1a,11b-Dihydro-4,9-dimethylbenz[a]anthra[3,4-b]oxirene","C19489","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"trans-3,4-Dihydro-3,4-dihydroxy-7,12-dimethylbenz[a]anthracene","C19490","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-Tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol","C19559","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"7-Hydroxymethyl-12-methylbenz[a]anthracene","C19561","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"7-Hydroxymethyl-12-methylbenz[a]anthracene sulfate","C19562","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone","C19563","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-(Nitrosoamino)-1-(3-pyridinyl)-1-butanone","C19564","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-Hydroxy-1-(3-pyridinyl)-1-butanone","C19565","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone","C19566","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-Oxo-1-(3-pyridyl)-1-butanone","C19567","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"N-Nitrosomethanamine","C19568","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"3-Succinoylpyridine","C19569","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol","C19574","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1-(Methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol","C19577","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"5-(3-Pyridyl)-2-hydroxytetrahydrofuran","C19578","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"gamma-Hydroxy-3-pyridinebutanoate","C19579","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"alpha-[3-[(Hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol","C19580","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"alpha-[3-(Nitrosoamino)propyl]-3-pyridinemethanol","C19581","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1-(3-Pyridinyl)-1,4-butanediol","C19582","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Aflatoxin Q1","C19585","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Aflatoxin B1-exo-8,9-epoxide","C19586","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Aflatoxin B1 diol","C19588","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Aflatoxin B1 dialdehyde","C19589","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"6-[2,3-Dihydroxy-1-(hydroxymethyl)propyl]-1,2-dihydro-7-hydroxy-9-methoxy-cyclopenta[c][1]benzopyran-3,4-dione","C19590","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"1,2,3,4-Tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal","C19591","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"alpha-(1,2-Dihydroxyethyl)-1,2,3,4-tetrahydro-7-hydroxy-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-acetaldehyde","C19592","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Aflatoxin-M1-8,9-epoxide","C19594","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Aflatoxin B1-endo-8,9-epoxide","C19595","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-(Methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone","C19602","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-(Methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanol","C19603","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"7,12-Dimethylbenz[a]anthracene 5,6-oxide","C19604","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol glucuronide","C19605","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"NNAL-N-glucuronide","C19606","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"trans-5,6-Dihydro-5,6-dihydroxy-7,12-dimethylbenz[a]anthracene","C19607","hsa00980","Metabolism of xenobiotics by cytochrome P450"
"Acrolein","C01471","hsa00982","Drug metabolism"
"Morphine","C01516","hsa00982","Drug metabolism"
"Hydroxytamoxifen","C05011","hsa00982","Drug metabolism"
"Codeine","C06174","hsa00982","Drug metabolism"
"Chloroacetaldehyde","C06754","hsa00982","Drug metabolism"
"Carbamazepine","C06868","hsa00982","Drug metabolism"
"Ifosfamide","C07047","hsa00982","Drug metabolism"
"Lidocaine","C07073","hsa00982","Drug metabolism"
"Tamoxifen","C07108","hsa00982","Drug metabolism"
"Methadone","C07163","hsa00982","Drug metabolism"
"Valproic acid","C07185","hsa00982","Drug metabolism"
"Oxcarbazepine","C07492","hsa00982","Drug metabolism"
"10-Hydroxycarbazepine","C07493","hsa00982","Drug metabolism"
"Dihydroxycarbazepine","C07495","hsa00982","Drug metabolism"
"Carbamazepine-10,11-epoxide","C07496","hsa00982","Drug metabolism"
"Felbamate","C07501","hsa00982","Drug metabolism"
"Citalopram","C07572","hsa00982","Drug metabolism"
"4-Hydroxycyclophosphamide","C07643","hsa00982","Drug metabolism"
"4-Ketocyclophosphamide","C07644","hsa00982","Drug metabolism"
"Aldophosphamide","C07645","hsa00982","Drug metabolism"
"Carboxyphosphamide","C07646","hsa00982","Drug metabolism"
"Phosphoramide mustard","C07647","hsa00982","Drug metabolism"
"Cyclophosphamide","C07888","hsa00982","Drug metabolism"
"Levomethadyl acetate","C08012","hsa00982","Drug metabolism"
"2,6-Dimethylaniline","C11004","hsa00982","Drug metabolism"
"4-Glutathionyl cyclophosphamide","C11583","hsa00982","Drug metabolism"
"Normorphine","C11785","hsa00982","Drug metabolism"
"alpha-Hydroxytamoxifen","C16544","hsa00982","Drug metabolism"
"Tamoxifen N-oxide","C16545","hsa00982","Drug metabolism"
"N-Desmethyltamoxifen","C16546","hsa00982","Drug metabolism"
"Endoxifen","C16547","hsa00982","Drug metabolism"
"N,N-Didesmethyltamoxifen","C16548","hsa00982","Drug metabolism"
"alpha-Hydroxy-N-desmethyltamoxifen","C16549","hsa00982","Drug metabolism"
"Dechloroethylcyclophosphamide","C16550","hsa00982","Drug metabolism"
"Alcophosphamide","C16551","hsa00982","Drug metabolism"
"Nornitrogen mustard","C16552","hsa00982","Drug metabolism"
"4-Hydroxyifosfamide","C16553","hsa00982","Drug metabolism"
"4-Ketoifosfamide","C16554","hsa00982","Drug metabolism"
"2-Dechloroethylifosfamide","C16555","hsa00982","Drug metabolism"
"Aldoifosfamide","C16556","hsa00982","Drug metabolism"
"Carboxyifosfamide","C16557","hsa00982","Drug metabolism"
"Alcoifosfamide","C16558","hsa00982","Drug metabolism"
"Isophosphoramide mustard","C16559","hsa00982","Drug metabolism"
"3-Hydroxylidocaine","C16560","hsa00982","Drug metabolism"
"Monoethylglycinexylidide","C16561","hsa00982","Drug metabolism"
"Glycinexylidide","C16569","hsa00982","Drug metabolism"
"4-Hydroxy-2,6-dimethylaniline","C16570","hsa00982","Drug metabolism"
"2-Amino-3-methylbenzoate","C16571","hsa00982","Drug metabolism"
"3-Hydroxymonoethylglycinexylidide","C16572","hsa00982","Drug metabolism"
"Norcodeine","C16576","hsa00982","Drug metabolism"
"Codeine-6-glucuronide","C16577","hsa00982","Drug metabolism"
"Morphine-6-glucuronide","C16578","hsa00982","Drug metabolism"
"2-Hydroxyfelbamate","C16582","hsa00982","Drug metabolism"
"p-Hydroxyfelbamate","C16584","hsa00982","Drug metabolism"
"2-Phenyl-1,3-propanediol monocarbamate","C16586","hsa00982","Drug metabolism"
"3-Carbamoyl-2-phenylpropionaldehyde","C16587","hsa00982","Drug metabolism"
"3-Carbamoyl-2-phenylpropionic acid","C16591","hsa00982","Drug metabolism"
"Atropaldehyde","C16592","hsa00982","Drug metabolism"
"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one","C16595","hsa00982","Drug metabolism"
"5-Phenyl-1,3-oxazinane-2,4-dione","C16596","hsa00982","Drug metabolism"
"2-Hydroxycarbamazepine","C16601","hsa00982","Drug metabolism"
"3-Hydroxycarbamazepine","C16602","hsa00982","Drug metabolism"
"2,3-Dihydroxycarbamazepine","C16603","hsa00982","Drug metabolism"
"2-Hydroxyiminostilbene","C16604","hsa00982","Drug metabolism"
"2H-Dibenz[b,f]azepin-2-one","C16605","hsa00982","Drug metabolism"
"Carbamazepine-o-quinone","C16606","hsa00982","Drug metabolism"
"Citalopram N-oxide","C16607","hsa00982","Drug metabolism"
"Demethylcitalopram","C16608","hsa00982","Drug metabolism"
"Didemethylcitalopram","C16609","hsa00982","Drug metabolism"
"Citalopram propionic acid","C16610","hsa00982","Drug metabolism"
"Citalopram aldehyde","C16612","hsa00982","Drug metabolism"
"Morphine-3-glucuronide","C16643","hsa00982","Drug metabolism"
"2-n-Propyl-4-pentenoic acid","C16648","hsa00982","Drug metabolism"
"4-Hydroxyvalproic acid","C16649","hsa00982","Drug metabolism"
"5-Hydroxyvalproic acid","C16650","hsa00982","Drug metabolism"
"3-Hydroxyvalproic acid","C16651","hsa00982","Drug metabolism"
"3-Oxovalproic acid","C16652","hsa00982","Drug metabolism"
"2-n-Propyl-2-pentenoic acid","C16653","hsa00982","Drug metabolism"
"2-n-Propyl-3-pentenoic acid","C16654","hsa00982","Drug metabolism"
"2-n-Propyl-4-oxopentanoic acid","C16655","hsa00982","Drug metabolism"
"2-Propyl-2,4-pentadienoic acid","C16656","hsa00982","Drug metabolism"
"2-Propylsuccinic acid","C16657","hsa00982","Drug metabolism"
"2-Propylglutaric acid","C16658","hsa00982","Drug metabolism"
"2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine","C16659","hsa00982","Drug metabolism"
"2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline","C16660","hsa00982","Drug metabolism"
"L-alpha-Acetyl-N-normethadol","C16661","hsa00982","Drug metabolism"
"L-alpha-Acetyl-N,N-dinormethadol","C16662","hsa00982","Drug metabolism"
"Codeine (USP)","D00195","hsa00982","Drug metabolism"
"Carbamazepine (JP18/USP/INN)","D00252","hsa00982","Drug metabolism"
"Ifosfamide (JAN/USP/INN)","D00343","hsa00982","Drug metabolism"
"Lidocaine (JP18/USP/INN)","D00358","hsa00982","Drug metabolism"
"Valproic acid (USP)","D00399","hsa00982","Drug metabolism"
"Oxcarbazepine (JAN/USP/INN)","D00533","hsa00982","Drug metabolism"
"Felbamate (USPINN)","D00536","hsa00982","Drug metabolism"
"Levomethadyl acetate (USAN)","D04716","hsa00982","Drug metabolism"
"Citalopram (USP/INN)","D07704","hsa00982","Drug metabolism"
"Cyclophosphamide (INN)","D07760","hsa00982","Drug metabolism"
"Methadone (BAN)","D08195","hsa00982","Drug metabolism"
"Morphine (BAN)","D08233","hsa00982","Drug metabolism"
"Tamoxifen (INN)","D08559","hsa00982","Drug metabolism"
"NAD+","C00003","hsa00983","Drug metabolism"
"NADP+","C00006","hsa00983","Drug metabolism"
"R-S-Glutathione","C02320","hsa00983","Drug metabolism"
"6-Mercaptopurine","C02380","hsa00983","Drug metabolism"
"5-Fluorodeoxyuridine monophosphate","C04242","hsa00983","Drug metabolism"
"6-Thioinosine-5'-monophosphate","C04646","hsa00983","Drug metabolism"
"Hydrazine","C05361","hsa00983","Drug metabolism"
"Fluoroacetate","C06108","hsa00983","Drug metabolism"
"Azathioprine","C06837","hsa00983","Drug metabolism"
"Isoniazid","C07054","hsa00983","Drug metabolism"
"Isonicotinic acid","C07446","hsa00983","Drug metabolism"
"Acetylhydrazine","C07447","hsa00983","Drug metabolism"
"N-Acetylisoniazid","C07585","hsa00983","Drug metabolism"
"Thioguanine","C07648","hsa00983","Drug metabolism"
"5-FU","C07649","hsa00983","Drug metabolism"
"SN-38","C11173","hsa00983","Drug metabolism"
"SN38 glucuronide","C11376","hsa00983","Drug metabolism"
"5-Fluorodeoxyuridine","C11736","hsa00983","Drug metabolism"
"Capecitabine","C12650","hsa00983","Drug metabolism"
"Tegafur","C12673","hsa00983","Drug metabolism"
"5'-Deoxy-5-fluorouridine","C12739","hsa00983","Drug metabolism"
"Carmofur","C13252","hsa00983","Drug metabolism"
"APC","C16542","hsa00983","Drug metabolism"
"NPC","C16543","hsa00983","Drug metabolism"
"6-Thiourate","C16613","hsa00983","Drug metabolism"
"6-Methylmercaptopurine","C16614","hsa00983","Drug metabolism"
"6-Methylthiopurine 5'-monophosphate ribonucleotide","C16615","hsa00983","Drug metabolism"
"6-Mercaptopurine ribonucleoside 5'-diphosphate","C16616","hsa00983","Drug metabolism"
"6-Mercaptopurine ribonucleoside triphosphate","C16617","hsa00983","Drug metabolism"
"6-Thioxanthine 5'-monophosphate","C16618","hsa00983","Drug metabolism"
"6-Thioguanosine monophosphate","C16619","hsa00983","Drug metabolism"
"6-Methylthioguanosine monophosphate","C16620","hsa00983","Drug metabolism"
"1-Methyl-4-nitroimidazole","C16621","hsa00983","Drug metabolism"
"N,N'-Diacetylhydrazine","C16622","hsa00983","Drug metabolism"
"Isonicotinylglycine","C16623","hsa00983","Drug metabolism"
"Isoniazid pyruvate","C16624","hsa00983","Drug metabolism"
"Isoniazid alpha-ketoglutaric acid","C16625","hsa00983","Drug metabolism"
"5,6-Dihydro-5-fluorouracil","C16630","hsa00983","Drug metabolism"
"alpha-Fluoro-beta-ureidopropionic acid","C16631","hsa00983","Drug metabolism"
"alpha-Fluoro-beta-alanine","C16632","hsa00983","Drug metabolism"
"5-Fluorouridine","C16633","hsa00983","Drug metabolism"
"5-Fluorouridine monophosphate","C16634","hsa00983","Drug metabolism"
"5'-Deoxy-5-fluorocytidine","C16635","hsa00983","Drug metabolism"
"Irinotecan","C16641","hsa00983","Drug metabolism"
"5-Fluorouridine diphosphate","C21748","hsa00983","Drug metabolism"
"5-Fluorouridine triphosphate","C21749","hsa00983","Drug metabolism"
"5-Fluorodeoxyuridine diphosphate","C21750","hsa00983","Drug metabolism"
"5-Fluorodeoxyuridine triphosphate","C21751","hsa00983","Drug metabolism"
"Isonicotinoyl radical","C21754","hsa00983","Drug metabolism"
"Hepatotoxins","C21758","hsa00983","Drug metabolism"
"Isonicotinoyl-NAD adduct","C21759","hsa00983","Drug metabolism"
"Isonicotinoyl-NADP adduct","C21760","hsa00983","Drug metabolism"
"Azathioprine (JP18/USP/INN)","D00238","hsa00983","Drug metabolism"
"Isoniazid (JP18/USP/INN)","D00346","hsa00983","Drug metabolism"
"Fluorouracil (JP18/USP/INN)","D00584","hsa00983","Drug metabolism"
"Capecitabine (JAN/USP/INN)","D01223","hsa00983","Drug metabolism"
"Tegafur (JP18/USAN/INN)","D01244","hsa00983","Drug metabolism"
"Doxifluridine (JP18/INN)","D01309","hsa00983","Drug metabolism"
"Carmofur (JP18/INN)","D01784","hsa00983","Drug metabolism"
"Floxuridine (USP/INN)","D04197","hsa00983","Drug metabolism"
"Mercaptopurine (INN)","D04931","hsa00983","Drug metabolism"
"Irinotecan (INN)","D08086","hsa00983","Drug metabolism"
"Tioguanine (INN)","D08603","hsa00983","Drug metabolism"
"Palmitoyl-CoA","C00154","hsa01040","Biosynthesis of unsaturated fatty acids"
"Arachidonate","C00219","hsa01040","Biosynthesis of unsaturated fatty acids"
"Hexadecanoic acid","C00249","hsa01040","Biosynthesis of unsaturated fatty acids"
"Stearoyl-CoA","C00412","hsa01040","Biosynthesis of unsaturated fatty acids"
"Oleoyl-CoA","C00510","hsa01040","Biosynthesis of unsaturated fatty acids"
"(9Z)-Octadecenoic acid","C00712","hsa01040","Biosynthesis of unsaturated fatty acids"
"Oleoyl-[acyl-carrier protein]","C01203","hsa01040","Biosynthesis of unsaturated fatty acids"
"Octadecanoic acid","C01530","hsa01040","Biosynthesis of unsaturated fatty acids"
"Linoleate","C01595","hsa01040","Biosynthesis of unsaturated fatty acids"
"Eicosanoyl-CoA","C02041","hsa01040","Biosynthesis of unsaturated fatty acids"
"Linoleoyl-CoA","C02050","hsa01040","Biosynthesis of unsaturated fatty acids"
"Arachidonyl-CoA","C02249","hsa01040","Biosynthesis of unsaturated fatty acids"
"gamma-Linolenoyl-CoA","C03035","hsa01040","Biosynthesis of unsaturated fatty acids"
"Dihomo-gamma-linolenate","C03242","hsa01040","Biosynthesis of unsaturated fatty acids"
"8,11,14-Eicosatrienoyl-CoA","C03595","hsa01040","Biosynthesis of unsaturated fatty acids"
"Octadecanoyl-[acyl-carrier protein]","C04088","hsa01040","Biosynthesis of unsaturated fatty acids"
"Hexadecanoyl-[acp]","C05764","hsa01040","Biosynthesis of unsaturated fatty acids"
"Icosanoic acid","C06425","hsa01040","Biosynthesis of unsaturated fatty acids"
"(6Z,9Z,12Z)-Octadecatrienoic acid","C06426","hsa01040","Biosynthesis of unsaturated fatty acids"
"(9Z,12Z,15Z)-Octadecatrienoic acid","C06427","hsa01040","Biosynthesis of unsaturated fatty acids"
"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid","C06428","hsa01040","Biosynthesis of unsaturated fatty acids"
"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid","C06429","hsa01040","Biosynthesis of unsaturated fatty acids"
"Docosanoic acid","C08281","hsa01040","Biosynthesis of unsaturated fatty acids"
"Erucic acid","C08316","hsa01040","Biosynthesis of unsaturated fatty acids"
"Tetracosanoic acid","C08320","hsa01040","Biosynthesis of unsaturated fatty acids"
"(15Z)-Tetracosenoic acid","C08323","hsa01040","Biosynthesis of unsaturated fatty acids"
"Linoleoyl-[acyl-carrier protein]","C16160","hsa01040","Biosynthesis of unsaturated fatty acids"
"alpha-Linolenoyl-ACP","C16161","hsa01040","Biosynthesis of unsaturated fatty acids"
"(9Z,12Z,15Z)-Octadecatrienoyl-CoA","C16162","hsa01040","Biosynthesis of unsaturated fatty acids"
"(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA","C16163","hsa01040","Biosynthesis of unsaturated fatty acids"
"(8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA","C16164","hsa01040","Biosynthesis of unsaturated fatty acids"
"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA","C16165","hsa01040","Biosynthesis of unsaturated fatty acids"
"(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA","C16166","hsa01040","Biosynthesis of unsaturated fatty acids"
"(9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl-CoA","C16167","hsa01040","Biosynthesis of unsaturated fatty acids"
"(6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA","C16168","hsa01040","Biosynthesis of unsaturated fatty acids"
"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA","C16169","hsa01040","Biosynthesis of unsaturated fatty acids"
"(7Z,10Z,13Z,16Z)-Docosatetraenoyl-CoA","C16170","hsa01040","Biosynthesis of unsaturated fatty acids"
"(9Z,12Z,15Z,18Z)-Tetracosatetraenoyl-CoA","C16171","hsa01040","Biosynthesis of unsaturated fatty acids"
"(6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-CoA","C16172","hsa01040","Biosynthesis of unsaturated fatty acids"
"(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA","C16173","hsa01040","Biosynthesis of unsaturated fatty acids"
